Timestamp,Cycle,Phase,Force_N,Material,Confidence,J1,J2,J3
21:13:55.195,1,Moving,5.00,Wood,93.3,1.0,0.0,0.0
21:13:57.626,1,Moving,5.00,Wood,93.3,44.0,0.0,0.0
21:13:57.679,1,Gripping,0.25,Wood,93.3,44.0,0.0,0.0
21:13:57.732,1,Gripping,0.50,Wood,93.3,44.0,0.0,0.0
21:13:57.784,1,Gripping,0.75,Wood,93.3,44.0,0.0,0.0
21:13:57.836,1,Gripping,1.00,Wood,93.3,44.0,0.0,0.0
21:13:57.890,1,Gripping,1.25,Wood,93.3,44.0,0.0,0.0
21:13:57.942,1,Gripping,1.50,Wood,93.3,44.0,0.0,0.0
21:13:57.994,1,Gripping,1.75,Wood,93.3,44.0,0.0,0.0
21:13:58.045,1,Gripping,2.00,Wood,93.3,44.0,0.0,0.0
21:13:58.096,1,Gripping,2.25,Wood,93.3,44.0,0.0,0.0
21:13:58.149,1,Gripping,2.50,Wood,93.3,44.0,0.0,0.0
21:13:58.201,1,Gripping,2.75,Wood,93.3,44.0,0.0,0.0
21:13:58.254,1,Gripping,3.00,Wood,93.3,44.0,0.0,0.0
21:13:58.307,1,Gripping,3.25,Wood,93.3,44.0,0.0,0.0
21:13:58.362,1,Gripping,3.50,Wood,93.3,44.0,0.0,0.0
21:13:58.415,1,Gripping,3.75,Wood,93.3,44.0,0.0,0.0
21:13:58.467,1,Gripping,4.00,Wood,93.3,44.0,0.0,0.0
21:13:58.520,1,Gripping,4.25,Wood,93.3,44.0,0.0,0.0
21:13:58.572,1,Gripping,4.50,Wood,93.3,44.0,0.0,0.0
21:13:58.625,1,Gripping,4.75,Wood,93.3,44.0,0.0,0.0
21:13:58.676,1,Gripping,5.00,Wood,93.3,44.0,0.0,0.0
21:13:58.678,1,Gripping (Hold),5.00,Wood,93.3,44.0,0.0,0.0
21:14:01.113,1,Moving,5.00,Wood,93.3,137.0,0.0,0.0
21:14:04.139,1,Waiting,5.00,Wood,93.3,137.0,0.0,0.0
21:14:04.641,1,Release,0.00,Wood,93.3,137.0,0.0,0.0
21:14:07.074,1,Moving,0.00,Wood,93.3,1.0,0.0,0.0
21:14:09.521,2,Moving,0.00,Wood,93.3,1.0,0.0,0.0
21:14:11.955,2,Moving,0.00,Wood,93.3,44.0,0.0,0.0
21:14:12.007,2,Gripping,0.25,Wood,93.3,44.0,0.0,0.0
21:14:12.058,2,Gripping,0.50,Wood,93.3,44.0,0.0,0.0
21:14:12.110,2,Gripping,0.75,Wood,93.3,44.0,0.0,0.0
21:14:12.163,2,Gripping,1.00,Wood,93.3,44.0,0.0,0.0
21:14:12.214,2,Gripping,1.25,Wood,93.3,44.0,0.0,0.0
21:14:12.266,2,Gripping,1.50,Wood,93.3,44.0,0.0,0.0
21:14:12.319,2,Gripping,1.75,Wood,93.3,44.0,0.0,0.0
21:14:12.372,2,Gripping,2.00,Wood,93.3,44.0,0.0,0.0
21:14:12.424,2,Gripping,2.25,Wood,93.3,44.0,0.0,0.0
21:14:12.475,2,Gripping,2.50,Wood,93.3,44.0,0.0,0.0
21:14:12.527,2,Gripping,2.75,Wood,93.3,44.0,0.0,0.0
21:14:12.579,2,Gripping,3.00,Wood,93.3,44.0,0.0,0.0
21:14:12.631,2,Gripping,3.25,Wood,93.3,44.0,0.0,0.0
21:14:12.682,2,Gripping,3.50,Wood,93.3,44.0,0.0,0.0
21:14:12.736,2,Gripping,3.75,Wood,93.3,44.0,0.0,0.0
21:14:12.788,2,Gripping,4.00,Wood,93.3,44.0,0.0,0.0
21:14:12.840,2,Gripping,4.25,Wood,93.3,44.0,0.0,0.0
21:14:12.891,2,Gripping,4.50,Wood,93.3,44.0,0.0,0.0
21:14:12.944,2,Gripping,4.75,Wood,93.3,44.0,0.0,0.0
21:14:12.997,2,Gripping,5.00,Wood,93.3,44.0,0.0,0.0
21:14:13.000,2,Gripping (Hold),5.00,Wood,93.3,44.0,0.0,0.0
21:14:15.435,2,Moving,5.00,Wood,93.3,137.0,0.0,0.0
21:14:18.462,2,Waiting,5.00,Wood,93.3,137.0,0.0,0.0
21:14:18.964,2,Release,0.00,Wood,93.3,137.0,0.0,0.0
21:14:21.395,2,Moving,0.00,Wood,93.3,1.0,0.0,0.0
