Timestamp,Cycle,Phase,Force_N,Material,Confidence,J1,J2,J3
21:51:52.508,1,Moving,0.00,Wood,92.6,0.0,0.0,0.0
21:51:52.559,1,Gripping,0.25,Wood,92.6,0.0,0.0,0.0
21:51:52.611,1,Gripping,0.50,Wood,92.6,0.0,0.0,0.0
21:51:52.663,1,Gripping,0.75,Wood,92.6,0.0,0.0,0.0
21:51:52.715,1,Gripping,1.00,Wood,92.6,0.0,0.0,0.0
21:51:52.767,1,Gripping,1.25,Wood,92.6,0.0,0.0,0.0
21:51:52.819,1,Gripping,1.50,Wood,92.6,0.0,0.0,0.0
21:51:52.871,1,Gripping,1.75,Wood,92.6,0.0,0.0,0.0
21:51:52.923,1,Gripping,2.00,Wood,92.6,0.0,0.0,0.0
21:51:52.975,1,Gripping,2.25,Wood,92.6,0.0,0.0,0.0
21:51:53.026,1,Gripping,2.50,Wood,92.6,0.0,0.0,0.0
21:51:53.077,1,Gripping,2.75,Wood,92.6,0.0,0.0,0.0
21:51:53.129,1,Gripping,3.00,Wood,92.6,0.0,0.0,0.0
21:51:53.182,1,Gripping,3.25,Wood,92.6,0.0,0.0,0.0
21:51:53.235,1,Gripping,3.50,Wood,92.6,0.0,0.0,0.0
21:51:53.287,1,Gripping,3.75,Wood,92.6,0.0,0.0,0.0
21:51:53.339,1,Gripping,4.00,Wood,92.6,0.0,0.0,0.0
21:51:53.390,1,Gripping,4.25,Wood,92.6,0.0,0.0,0.0
21:51:53.441,1,Gripping,4.50,Wood,92.6,0.0,0.0,0.0
21:51:53.493,1,Gripping,4.75,Wood,92.6,0.0,0.0,0.0
21:51:53.544,1,Gripping,5.00,Wood,92.6,0.0,0.0,0.0
21:51:53.545,1,Gripping (Hold),5.00,Wood,92.6,0.0,0.0,0.0
21:51:55.972,1,Moving,5.00,Wood,92.6,67.0,43.0,48.0
21:52:01.021,1,Waiting,1.55,Wood,92.3,67.0,43.0,48.0
21:52:03.448,1,Moving,1.55,Wood,92.3,67.0,23.0,36.0
21:52:03.950,1,Release,0.00,Wood,92.3,67.0,23.0,36.0
21:52:06.379,1,Moving,0.00,Wood,92.3,121.0,71.0,74.0
21:52:08.820,2,Moving,0.00,Wood,92.3,0.0,0.0,0.0
21:52:08.873,2,Gripping,0.25,Wood,92.3,0.0,0.0,0.0
21:52:08.924,2,Gripping,0.50,Wood,92.3,0.0,0.0,0.0
21:52:08.976,2,Gripping,0.75,Wood,92.3,0.0,0.0,0.0
21:52:09.027,2,Gripping,1.00,Wood,92.3,0.0,0.0,0.0
21:52:09.080,2,Gripping,1.25,Wood,92.3,0.0,0.0,0.0
21:52:09.131,2,Gripping,1.50,Wood,92.3,0.0,0.0,0.0
21:52:09.182,2,Gripping,1.75,Wood,92.3,0.0,0.0,0.0
21:52:09.234,2,Gripping,2.00,Wood,92.3,0.0,0.0,0.0
21:52:09.286,2,Gripping,2.25,Wood,92.3,0.0,0.0,0.0
21:52:09.338,2,Gripping,2.50,Wood,92.3,0.0,0.0,0.0
21:52:09.389,2,Gripping,2.75,Wood,92.3,0.0,0.0,0.0
21:52:09.440,2,Gripping,3.00,Wood,92.3,0.0,0.0,0.0
21:52:09.493,2,Gripping,3.25,Wood,92.3,0.0,0.0,0.0
21:52:09.544,2,Gripping,3.50,Wood,92.3,0.0,0.0,0.0
21:52:09.595,2,Gripping,3.75,Wood,92.3,0.0,0.0,0.0
21:52:09.646,2,Gripping,4.00,Wood,92.3,0.0,0.0,0.0
21:52:09.697,2,Gripping,4.25,Wood,92.3,0.0,0.0,0.0
21:52:09.748,2,Gripping,4.50,Wood,92.3,0.0,0.0,0.0
21:52:09.799,2,Gripping,4.75,Wood,92.3,0.0,0.0,0.0
21:52:09.851,2,Gripping,5.00,Wood,92.3,0.0,0.0,0.0
21:52:09.851,2,Gripping (Hold),5.00,Wood,92.3,0.0,0.0,0.0
21:52:12.283,2,Moving,5.00,Wood,92.3,67.0,43.0,48.0
21:52:17.285,2,Waiting,5.00,Wood,92.3,67.0,43.0,48.0
21:52:19.714,2,Moving,5.00,Wood,92.3,67.0,23.0,36.0
21:52:20.216,2,Release,0.00,Wood,92.3,67.0,23.0,36.0
21:52:22.647,2,Moving,0.00,Wood,92.3,121.0,71.0,74.0
21:52:25.097,3,Moving,0.00,Wood,92.3,0.0,0.0,0.0
21:52:25.149,3,Gripping,0.25,Wood,92.3,0.0,0.0,0.0
21:52:25.202,3,Gripping,0.50,Wood,92.3,0.0,0.0,0.0
21:52:25.253,3,Gripping,0.75,Wood,92.3,0.0,0.0,0.0
21:52:25.305,3,Gripping,1.00,Wood,92.3,0.0,0.0,0.0
21:52:25.358,3,Gripping,1.25,Wood,92.3,0.0,0.0,0.0
21:52:25.410,3,Gripping,1.50,Wood,92.3,0.0,0.0,0.0
21:52:25.461,3,Gripping,1.75,Wood,92.3,0.0,0.0,0.0
21:52:25.514,3,Gripping,2.00,Wood,92.3,0.0,0.0,0.0
21:52:25.565,3,Gripping,2.25,Wood,92.3,0.0,0.0,0.0
21:52:25.616,3,Gripping,2.50,Wood,92.3,0.0,0.0,0.0
21:52:25.668,3,Gripping,2.75,Wood,92.3,0.0,0.0,0.0
21:52:25.720,3,Gripping,3.00,Wood,92.3,0.0,0.0,0.0
21:52:25.772,3,Gripping,3.25,Wood,92.3,0.0,0.0,0.0
21:52:25.823,3,Gripping,3.50,Wood,92.3,0.0,0.0,0.0
21:52:25.874,3,Gripping,3.75,Wood,92.3,0.0,0.0,0.0
21:52:25.926,3,Gripping,4.00,Wood,92.3,0.0,0.0,0.0
21:52:25.978,3,Gripping,4.25,Wood,92.3,0.0,0.0,0.0
21:52:26.029,3,Gripping,4.50,Wood,92.3,0.0,0.0,0.0
21:52:26.081,3,Gripping,4.75,Wood,92.3,0.0,0.0,0.0
21:52:26.132,3,Gripping,5.00,Wood,92.3,0.0,0.0,0.0
21:52:26.134,3,Gripping (Hold),5.00,Wood,92.3,0.0,0.0,0.0
21:52:28.560,3,Moving,5.00,Wood,92.3,67.0,43.0,48.0
21:52:33.600,3,Waiting,5.00,Wood,92.3,67.0,43.0,48.0
21:52:36.031,3,Moving,5.00,Wood,92.3,67.0,23.0,36.0
21:52:36.533,3,Release,0.00,Wood,92.3,67.0,23.0,36.0
21:52:38.961,3,Moving,0.00,Wood,92.3,121.0,71.0,74.0
21:52:41.407,4,Moving,0.00,Wood,92.3,0.0,0.0,0.0
21:52:41.458,4,Gripping,0.25,Wood,92.3,0.0,0.0,0.0
21:52:41.510,4,Gripping,0.50,Wood,92.3,0.0,0.0,0.0
21:52:41.560,4,Gripping,0.75,Wood,92.3,0.0,0.0,0.0
21:52:41.611,4,Gripping,1.00,Wood,92.3,0.0,0.0,0.0
21:52:41.662,4,Gripping,1.25,Wood,92.3,0.0,0.0,0.0
21:52:41.713,4,Gripping,1.50,Wood,92.3,0.0,0.0,0.0
21:52:41.765,4,Gripping,1.75,Wood,92.3,0.0,0.0,0.0
21:52:41.817,4,Gripping,2.00,Wood,92.3,0.0,0.0,0.0
21:52:41.867,4,Gripping,2.25,Wood,92.3,0.0,0.0,0.0
21:52:41.919,4,Gripping,2.50,Wood,92.3,0.0,0.0,0.0
21:52:41.971,4,Gripping,2.75,Wood,92.3,0.0,0.0,0.0
21:52:42.021,4,Gripping,3.00,Wood,92.3,0.0,0.0,0.0
21:52:42.073,4,Gripping,3.25,Wood,92.3,0.0,0.0,0.0
21:52:42.124,4,Gripping,3.50,Wood,92.3,0.0,0.0,0.0
21:52:42.175,4,Gripping,3.75,Wood,92.3,0.0,0.0,0.0
21:52:42.226,4,Gripping,4.00,Wood,92.3,0.0,0.0,0.0
21:52:42.277,4,Gripping,4.25,Wood,92.3,0.0,0.0,0.0
21:52:42.327,4,Gripping,4.50,Wood,92.3,0.0,0.0,0.0
21:52:42.378,4,Gripping,4.75,Wood,92.3,0.0,0.0,0.0
21:52:42.429,4,Gripping,5.00,Wood,92.3,0.0,0.0,0.0
21:52:42.429,4,Gripping (Hold),5.00,Wood,92.3,0.0,0.0,0.0
21:52:44.857,4,Moving,5.00,Wood,92.3,67.0,43.0,48.0
21:52:49.903,4,Waiting,5.00,Wood,92.3,67.0,43.0,48.0
21:52:52.334,4,Moving,5.00,Wood,92.3,67.0,23.0,36.0
21:52:52.835,4,Release,0.00,Wood,92.3,67.0,23.0,36.0
21:52:55.268,4,Moving,0.00,Wood,92.3,121.0,71.0,74.0
21:52:57.725,5,Moving,0.00,Wood,92.3,0.0,0.0,0.0
21:52:57.776,5,Gripping,0.25,Wood,92.3,0.0,0.0,0.0
21:52:57.828,5,Gripping,0.50,Wood,92.3,0.0,0.0,0.0
21:52:57.879,5,Gripping,0.75,Wood,92.3,0.0,0.0,0.0
21:52:57.930,5,Gripping,1.00,Wood,92.3,0.0,0.0,0.0
21:52:57.982,5,Gripping,1.25,Wood,92.3,0.0,0.0,0.0
21:52:58.033,5,Gripping,1.50,Wood,92.3,0.0,0.0,0.0
21:52:58.084,5,Gripping,1.75,Wood,92.3,0.0,0.0,0.0
21:52:58.136,5,Gripping,2.00,Wood,92.3,0.0,0.0,0.0
21:52:58.187,5,Gripping,2.25,Wood,92.3,0.0,0.0,0.0
21:52:58.239,5,Gripping,2.50,Wood,92.3,0.0,0.0,0.0
21:52:58.291,5,Gripping,2.75,Wood,92.3,0.0,0.0,0.0
21:52:58.344,5,Gripping,3.00,Wood,92.3,0.0,0.0,0.0
21:52:58.396,5,Gripping,3.25,Wood,92.3,0.0,0.0,0.0
21:52:58.447,5,Gripping,3.50,Wood,92.3,0.0,0.0,0.0
21:52:58.499,5,Gripping,3.75,Wood,92.3,0.0,0.0,0.0
21:52:58.552,5,Gripping,4.00,Wood,92.3,0.0,0.0,0.0
21:52:58.604,5,Gripping,4.25,Wood,92.3,0.0,0.0,0.0
21:52:58.655,5,Gripping,4.50,Wood,92.3,0.0,0.0,0.0
21:52:58.707,5,Gripping,4.75,Wood,92.3,0.0,0.0,0.0
21:52:58.759,5,Gripping,5.00,Wood,92.3,0.0,0.0,0.0
21:52:58.759,5,Gripping (Hold),5.00,Wood,92.3,0.0,0.0,0.0
21:53:01.183,5,Moving,5.00,Wood,92.3,67.0,43.0,48.0
21:53:06.229,5,Waiting,5.00,Wood,92.3,67.0,43.0,48.0
21:53:08.657,5,Moving,5.00,Wood,92.3,67.0,23.0,36.0
21:53:09.159,5,Release,0.00,Wood,92.3,67.0,23.0,36.0
21:53:11.593,5,Moving,0.00,Wood,92.3,121.0,71.0,74.0
